document_id,asset_id,feeder_id,region_id,document_type,document_title,volume_path,created_date,effective_date,document_summary,sensitivity_classification
DOC-000001,AST-CQI-POL-005034,FDR-CQI-0091,REG-CQI,photo_pack,Photo Pack — AST-CQI-POL-005034,/Volumes/anzgt_may/energyq/asset_docs/REG-CQI/photo_pack/DOC-000001.md,2025-02-10T08:05:41,2025-07-17T08:05:41,Region: Central Queensland Industrial Belt Feeder: FDR-CQI-0091,confidential
DOC-000002,AST-CQI-SEC-005607,FDR-CQI-0100,REG-CQI,inspection_report,Inspection Report — AST-CQI-SEC-005607,/Volumes/anzgt_may/energyq/asset_docs/REG-CQI/inspection_report/DOC-000002.md,2025-01-15T08:05:41,2025-07-29T08:05:41,Region: Central Queensland Industrial Belt Feeder: FDR-CQI-0100,restricted
DOC-000003,AST-TSV-POL-004400,FDR-TSV-0081,REG-TSV,inspection_report,Inspection Report — AST-TSV-POL-004400,/Volumes/anzgt_may/energyq/asset_docs/REG-TSV/inspection_report/DOC-000003.md,2024-06-17T08:05:41,2026-03-23T08:05:41,Region: Townsville / Cairns Coastal Corridor Feeder: FDR-TSV-0081,internal
DOC-000004,AST-TSV-POL-004416,FDR-TSV-0081,REG-TSV,photo_pack,Photo Pack — AST-TSV-POL-004416,/Volumes/anzgt_may/energyq/asset_docs/REG-TSV/photo_pack/DOC-000004.md,2025-02-05T08:05:41,2026-01-31T08:05:41,Region: Townsville / Cairns Coastal Corridor Feeder: FDR-TSV-0081,restricted
DOC-000005,AST--RW-POL-007614,FDR--RW-0125,REG-RW,engineering_drawing,Engineering Drawing — AST--RW-POL-007614,/Volumes/anzgt_may/energyq/asset_docs/REG-RW/engineering_drawing/DOC-000005.md,2025-05-18T08:05:41,2025-10-02T08:05:41,Region: Remote Western Queensland Feeder: FDR--RW-0125,internal
DOC-000006,AST-TSV-SWI-004617,FDR-TSV-0085,REG-TSV,inspection_report,Inspection Report — AST-TSV-SWI-004617,/Volumes/anzgt_may/energyq/asset_docs/REG-TSV/inspection_report/DOC-000006.md,2024-05-29T08:05:41,2026-01-09T08:05:41,Region: Townsville / Cairns Coastal Corridor Feeder: FDR-TSV-0085,internal
DOC-000007,,FDR-SEQ-0028,REG-SEQ,risk_assessment,Risk Assessment — REG-SEQ,/Volumes/anzgt_may/energyq/asset_docs/REG-SEQ/risk_assessment/DOC-000007.md,2025-11-26T08:05:41,2026-03-29T08:05:41,Region: SEQ Metro Storm Belt Feeder: FDR-SEQ-0028,internal
DOC-000008,,FDR-SEQ-0030,REG-SEQ,vegetation_policy,Vegetation Policy — REG-SEQ,/Volumes/anzgt_may/energyq/asset_docs/REG-SEQ/vegetation_policy/DOC-000008.md,2025-12-19T08:05:41,2026-02-18T08:05:41,Document id: DOC-000008 Effective date: 2026-02-18,restricted
DOC-000009,AST-SEQ-TRA-001548,FDR-SEQ-0029,REG-SEQ,photo_pack,Photo Pack — AST-SEQ-TRA-001548,/Volumes/anzgt_may/energyq/asset_docs/REG-SEQ/photo_pack/DOC-000009.md,2026-04-01T08:05:41,2025-07-15T08:05:41,Region: SEQ Metro Storm Belt Feeder: FDR-SEQ-0029,internal
DOC-000010,AST-TSV-POL-004868,FDR-TSV-0088,REG-TSV,photo_pack,Photo Pack — AST-TSV-POL-004868,/Volumes/anzgt_may/energyq/asset_docs/REG-TSV/photo_pack/DOC-000010.md,2025-04-29T08:05:41,2026-03-01T08:05:41,Region: Townsville / Cairns Coastal Corridor Feeder: FDR-TSV-0088,internal
DOC-000011,AST-TSV-POL-003413,FDR-TSV-0066,REG-TSV,work_order_pdf,Work Order Pdf — AST-TSV-POL-003413,/Volumes/anzgt_may/energyq/asset_docs/REG-TSV/work_order_pdf/DOC-000011.md,2025-02-18T08:05:41,2025-12-01T08:05:41,Work order id: WO-EX-DOC-000011 Region: Townsville / Cairns Coastal Corridor,confidential
DOC-000012,AST-MKY-TRA-003080,FDR-MKY-0060,REG-MKY,photo_pack,Photo Pack — AST-MKY-TRA-003080,/Volumes/anzgt_may/energyq/asset_docs/REG-MKY/photo_pack/DOC-000012.md,2024-05-27T08:05:41,2025-11-20T08:05:41,Region: Mackay / Whitsunday Corridor Feeder: FDR-MKY-0060,internal
DOC-000013,AST-MKY-RIN-002929,FDR-MKY-0058,REG-MKY,inspection_report,Inspection Report — AST-MKY-RIN-002929,/Volumes/anzgt_may/energyq/asset_docs/REG-MKY/inspection_report/DOC-000013.md,2024-06-27T08:05:41,2026-03-26T08:05:41,Region: Mackay / Whitsunday Corridor Feeder: FDR-MKY-0058,internal
DOC-000014,AST-CQI-CON-005480,FDR-CQI-0097,REG-CQI,work_order_pdf,Work Order Pdf — AST-CQI-CON-005480,/Volumes/anzgt_may/energyq/asset_docs/REG-CQI/work_order_pdf/DOC-000014.md,2025-05-03T08:05:41,2026-02-06T08:05:41,Work order id: WO-EX-DOC-000014 Region: Central Queensland Industrial Belt,internal
DOC-000015,AST-SEQ-POL-001856,FDR-SEQ-0035,REG-SEQ,inspection_report,Inspection Report — AST-SEQ-POL-001856,/Volumes/anzgt_may/energyq/asset_docs/REG-SEQ/inspection_report/DOC-000015.md,2025-10-27T08:05:41,2026-05-05T08:05:41,Region: SEQ Metro Storm Belt Feeder: FDR-SEQ-0035,internal
DOC-000016,AST-MKY-SWI-003000,FDR-MKY-0058,REG-MKY,inspection_report,Inspection Report — AST-MKY-SWI-003000,/Volumes/anzgt_may/energyq/asset_docs/REG-MKY/inspection_report/DOC-000016.md,2026-01-04T08:05:41,2025-07-25T08:05:41,Region: Mackay / Whitsunday Corridor Feeder: FDR-MKY-0058,internal
DOC-000017,,FDR-CQI-0102,REG-CQI,storm_response_plan,Storm Response Plan — REG-CQI,/Volumes/anzgt_may/energyq/asset_docs/REG-CQI/storm_response_plan/DOC-000017.md,2025-10-28T08:05:41,2025-10-17T08:05:41,Document id: DOC-000017 Effective date: 2025-10-17,restricted
DOC-000018,AST--RW-POL-007263,FDR--RW-0121,REG-RW,inspection_report,Inspection Report — AST--RW-POL-007263,/Volumes/anzgt_may/energyq/asset_docs/REG-RW/inspection_report/DOC-000018.md,2025-05-15T08:05:41,2025-10-28T08:05:41,Region: Remote Western Queensland Feeder: FDR--RW-0121,internal
DOC-000019,AST-TSV-POL-004815,FDR-TSV-0087,REG-TSV,photo_pack,Photo Pack — AST-TSV-POL-004815,/Volumes/anzgt_may/energyq/asset_docs/REG-TSV/photo_pack/DOC-000019.md,2026-02-20T08:05:41,2026-02-19T08:05:41,Region: Townsville / Cairns Coastal Corridor Feeder: FDR-TSV-0087,restricted
DOC-000020,AST-TSV-CON-003382,FDR-TSV-0066,REG-TSV,photo_pack,Photo Pack — AST-TSV-CON-003382,/Volumes/anzgt_may/energyq/asset_docs/REG-TSV/photo_pack/DOC-000020.md,2026-04-30T08:05:41,2025-08-23T08:05:41,Region: Townsville / Cairns Coastal Corridor Feeder: FDR-TSV-0066,internal
DOC-000021,AST-CQI-TRA-004995,FDR-CQI-0091,REG-CQI,inspection_report,Inspection Report — AST-CQI-TRA-004995,/Volumes/anzgt_may/energyq/asset_docs/REG-CQI/inspection_report/DOC-000021.md,2025-04-14T08:05:41,2025-09-27T08:05:41,Region: Central Queensland Industrial Belt Feeder: FDR-CQI-0091,internal
DOC-000022,AST-SEQ-POL-002035,FDR-SEQ-0039,REG-SEQ,work_order_pdf,Work Order Pdf — AST-SEQ-POL-002035,/Volumes/anzgt_may/energyq/asset_docs/REG-SEQ/work_order_pdf/DOC-000022.md,2025-08-02T08:05:41,2026-03-11T08:05:41,Work order id: WO-EX-DOC-000022 Region: SEQ Metro Storm Belt,internal
DOC-000023,AST-SEQ-POL-000558,FDR-SEQ-0010,REG-SEQ,inspection_report,Inspection Report — AST-SEQ-POL-000558,/Volumes/anzgt_may/energyq/asset_docs/REG-SEQ/inspection_report/DOC-000023.md,2025-08-20T08:05:41,2025-07-07T08:05:41,Region: SEQ Metro Storm Belt Feeder: FDR-SEQ-0010,internal
DOC-000024,AST-MKY-SWI-002460,FDR-MKY-0047,REG-MKY,photo_pack,Photo Pack — AST-MKY-SWI-002460,/Volumes/anzgt_may/energyq/asset_docs/REG-MKY/photo_pack/DOC-000024.md,2024-07-07T08:05:41,2026-03-10T08:05:41,Region: Mackay / Whitsunday Corridor Feeder: FDR-MKY-0047,restricted
DOC-000025,AST-MKY-CON-002352,FDR-MKY-0045,REG-MKY,work_order_pdf,Work Order Pdf — AST-MKY-CON-002352,/Volumes/anzgt_may/energyq/asset_docs/REG-MKY/work_order_pdf/DOC-000025.md,2025-08-09T08:05:41,2025-08-21T08:05:41,Work order id: WO-EX-DOC-000025 Region: Mackay / Whitsunday Corridor,internal
DOC-000026,AST--RW-POL-007621,FDR--RW-0125,REG-RW,inspection_report,Inspection Report — AST--RW-POL-007621,/Volumes/anzgt_may/energyq/asset_docs/REG-RW/inspection_report/DOC-000026.md,2024-10-31T08:05:41,2025-07-17T08:05:41,Region: Remote Western Queensland Feeder: FDR--RW-0125,internal
DOC-000027,AST-MKY-CON-002653,FDR-MKY-0051,REG-MKY,photo_pack,Photo Pack — AST-MKY-CON-002653,/Volumes/anzgt_may/energyq/asset_docs/REG-MKY/photo_pack/DOC-000027.md,2026-04-06T08:05:41,2026-03-24T08:05:41,Region: Mackay / Whitsunday Corridor Feeder: FDR-MKY-0051,restricted
