asset_id,condition_score,failure_probability_12m,failure_probability_36m,health_band,risk_score,risk_band,risk_drivers,last_scored_at
AST-SEQ-POL-000001,55.0,0.0508,0.1488,poor,49.0,medium,age|criticality,2026-05-07
AST-SEQ-CON-000002,80.1,0.0319,0.0865,good,33.9,medium,criticality,2026-05-10
AST-SEQ-POL-000003,83.4,0.0263,0.0662,good,34.8,medium,criticality,2026-05-08
AST-SEQ-SWI-000004,67.5,0.0231,0.0646,watch,40.9,medium,age,2026-05-13
AST-SEQ-SEC-000005,92.9,0.0143,0.0431,good,18.0,low,criticality,2026-05-11
AST-SEQ-TRA-000006,81.2,0.0441,0.1265,good,34.3,medium,criticality,2026-05-16
AST-SEQ-SWI-000007,99,0.0019,0.0055,good,23.0,low,criticality,2026-05-06
AST-SEQ-POL-000008,88.7,0.0179,0.0419,good,21.1,low,,2026-05-12
AST-SEQ-POL-000009,87.7,0.0163,0.0519,good,22.6,low,,2026-05-13
AST-SEQ-TRA-000010,84.3,0.0023,0.0055,good,27.5,low,criticality,2026-05-16
AST-SEQ-REC-000011,85.2,0.0534,0.1271,good,32.0,medium,criticality,2026-05-06
AST-SEQ-POL-000012,78.5,0.0443,0.1292,good,33.1,medium,criticality,2026-05-14
AST-SEQ-POL-000013,96.2,0.0011,0.0032,good,5.7,low,,2026-05-07
AST-SEQ-POL-000014,62.2,0.0342,0.079,watch,44.6,medium,age|criticality,2026-05-09
AST-SEQ-POL-000015,60.0,0.0449,0.1166,watch,42.2,medium,age|criticality,2026-05-17
AST-SEQ-POL-000016,62.3,0.0347,0.0859,watch,42.3,medium,age|criticality,2026-05-13
AST-SEQ-POL-000017,78.8,0.0141,0.0406,good,16.6,low,criticality,2026-05-08
AST-SEQ-POL-000018,91.2,0.0073,0.0224,good,14.3,low,,2026-05-14
AST-SEQ-POL-000019,71.3,0.0439,0.1211,watch,34.6,medium,age|criticality,2026-05-05
AST-SEQ-POL-000020,88.0,0.0137,0.0294,good,27.6,low,,2026-05-12
AST-SEQ-CON-000021,93.3,0.003,0.0085,good,15.4,low,,2026-05-15
AST-SEQ-POL-000022,70.7,0.0354,0.0876,watch,34.5,medium,age,2026-05-15
AST-SEQ-POL-000023,97.1,0.0094,0.0252,good,22.1,low,,2026-05-08
AST-SEQ-CON-000024,72.2,0.0329,0.07,watch,38.7,medium,criticality,2026-05-05
AST-SEQ-TRA-000025,87.2,0.018,0.0572,good,27.2,low,criticality,2026-05-15
AST-SEQ-POL-000026,87.6,0.0029,0.0069,good,22.0,low,criticality,2026-05-12
AST-SEQ-POL-000027,74.9,0.0011,0.0027,watch,20.5,low,,2026-05-15
AST-SEQ-POL-000028,93.0,0.0022,0.0067,good,11.9,low,,2026-05-14
AST-SEQ-REC-000029,56.7,0.0325,0.075,watch,40.9,medium,age|criticality,2026-05-07
AST-SEQ-POL-000030,61.0,0.0563,0.1514,watch,41.5,medium,age,2026-05-07
AST-SEQ-POL-000031,86.1,0.0191,0.0555,good,27.6,low,,2026-05-13
AST-SEQ-POL-000032,56.6,0.0569,0.1336,watch,45.2,medium,age,2026-05-10
AST-SEQ-POL-000033,74.7,0.0543,0.1283,watch,39.3,medium,,2026-05-14
AST-SEQ-TRA-000034,85.5,0.0163,0.0334,good,22.6,low,,2026-05-03
AST-SEQ-SWI-000035,91.7,0.0034,0.0083,good,19.8,low,,2026-05-08
AST-SEQ-POL-000036,60.9,0.0426,0.1358,watch,33.4,medium,age,2026-05-14
AST-SEQ-POL-000037,61.1,0.0509,0.1502,watch,36.2,medium,age,2026-05-14
AST-SEQ-SWI-000038,64.7,0.0015,0.0039,watch,29.6,low,age,2026-05-08
AST-SEQ-POL-000039,69.3,0.0113,0.028,watch,27.5,low,,2026-05-09
AST-SEQ-CON-000040,92.8,0.0161,0.0401,good,12.1,low,,2026-05-03
AST-SEQ-RIN-000041,77.1,0.0419,0.1032,good,33.7,medium,criticality,2026-05-14
AST-SEQ-CON-000042,60.5,0.0455,0.1136,watch,40.0,medium,age|criticality,2026-05-12
AST-SEQ-TRA-000043,74.0,0.0371,0.0996,watch,38.4,medium,age|criticality,2026-05-14
AST-SEQ-SEC-000044,72.4,0.0445,0.1085,watch,31.3,medium,,2026-05-13
AST-SEQ-POL-000045,92.8,0.0092,0.0195,good,11.4,low,,2026-05-10
AST-SEQ-POL-000046,87.3,0.0042,0.0111,good,19.1,low,,2026-05-15
AST-SEQ-REC-000047,87.6,0.0201,0.0424,good,32.7,medium,criticality,2026-05-09
AST-SEQ-POL-000048,43.4,0.0585,0.1636,poor,44.5,medium,age|condition|criticality,2026-05-11
AST-SEQ-POL-000049,53.4,0.0238,0.0648,poor,38.5,medium,age,2026-05-10
AST-SEQ-POL-000050,73.6,0.0041,0.01,watch,28.1,low,criticality,2026-05-04
AST-SEQ-POL-000051,95.9,0.004,0.009,good,11.0,low,,2026-05-03
AST-SEQ-POL-000052,93.4,0.0118,0.0292,good,23.0,low,criticality,2026-05-07
AST-SEQ-POL-000053,68.2,0.0172,0.051,watch,27.0,low,,2026-05-12
AST-SEQ-POL-000054,67.3,0.0586,0.1627,watch,38.3,medium,,2026-05-11
AST-SEQ-POL-000055,50.4,0.0536,0.1578,poor,42.9,medium,age|criticality,2026-05-06
AST-SEQ-POL-000056,91.6,0.0064,0.017,good,18.9,low,criticality,2026-05-06
AST-SEQ-POL-000057,96.0,0.0182,0.043,good,15.0,low,criticality,2026-05-03
AST-SEQ-POL-000058,83.9,0.003,0.0068,good,26.2,low,,2026-05-17
AST-SEQ-POL-000059,88.6,0.0105,0.0319,good,23.0,low,,2026-05-14
AST-SEQ-TRA-000060,95.9,0.002,0.0056,good,17.5,low,,2026-05-09
AST-SEQ-CON-000061,76.0,0.0326,0.0861,watch,40.7,medium,age,2026-05-16
AST-SEQ-POL-000062,98.5,0.0196,0.0508,good,22.6,low,,2026-05-03
AST-SEQ-RIN-000063,74.4,0.0489,0.1256,watch,35.1,medium,,2026-05-06
AST-SEQ-TRA-000064,93.3,0.0037,0.0112,good,22.0,low,,2026-05-13
AST-SEQ-POL-000065,72.6,0.0103,0.0324,watch,23.9,low,,2026-05-09
AST-SEQ-REC-000066,65.7,0.0596,0.1764,watch,36.4,medium,age,2026-05-07
AST-SEQ-CON-000067,68.9,0.0414,0.0923,watch,41.5,medium,age|criticality,2026-05-14
AST-SEQ-TRA-000068,99,0.0179,0.0539,good,22.7,low,,2026-05-03
AST-SEQ-RIN-000069,68.9,0.0417,0.0934,watch,44.0,medium,age|criticality,2026-05-03
AST-SEQ-CON-000070,73.0,0.0207,0.0649,watch,40.0,medium,age|criticality,2026-05-11
AST-SEQ-POL-000071,84.2,0.0075,0.0151,good,19.1,low,,2026-05-14
AST-SEQ-POL-000072,27.7,0.0415,0.0981,critical,52.8,medium,age|condition|criticality,2026-05-12
AST-SEQ-POL-000073,70.3,0.0447,0.094,watch,34.2,medium,age|criticality,2026-05-09
AST-SEQ-TRA-000074,79.3,0.0376,0.0968,good,33.4,medium,criticality,2026-05-12
AST-SEQ-TRA-000075,85.7,0.0115,0.024,good,12.8,low,,2026-05-10
AST-SEQ-TRA-000076,91.6,0.0167,0.0428,good,14.5,low,,2026-05-10
AST-SEQ-POL-000077,84.9,0.0059,0.0173,good,28.5,low,criticality,2026-05-16
AST-SEQ-RIN-000078,98.9,0.0039,0.0099,good,14.5,low,criticality,2026-05-10
AST-SEQ-POL-000079,64.7,0.0589,0.1847,watch,36.9,medium,,2026-05-15
AST-SEQ-TRA-000080,48.9,0.045,0.1294,poor,40.2,medium,age|criticality,2026-05-06
AST-SEQ-CON-000081,92.6,0.0073,0.0186,good,18.1,low,,2026-05-10
AST-SEQ-SWI-000082,65.4,0.0171,0.0534,watch,29.5,low,,2026-05-06
AST-SEQ-REC-000083,89.3,0.0199,0.0532,good,24.1,low,criticality,2026-05-15
AST-SEQ-POL-000084,93.6,0.0089,0.0276,good,24.6,low,criticality,2026-05-17
AST-SEQ-POL-000085,64.6,0.0577,0.1379,watch,33.6,medium,,2026-05-08
AST-SEQ-POL-000086,78.5,0.0102,0.0308,good,22.8,low,,2026-05-03
AST-SEQ-POL-000087,69.3,0.0453,0.134,watch,38.4,medium,,2026-05-03
AST-SEQ-POL-000088,82.4,0.0117,0.028,good,14.2,low,,2026-05-17
AST-SEQ-POL-000089,93.7,0.0115,0.0366,good,16.3,low,,2026-05-10
AST-SEQ-POL-000090,53.5,0.0312,0.0691,poor,40.7,medium,age|criticality,2026-05-16
