critical_customer_id,feeder_id,region_id,site_name,site_type,lat,lon,backup_power_status,priority_score
CCX-000001,FDR-SEQ-0027,REG-SEQ,Water Pumping Site 1,water_pumping,-27.134400,152.923342,full,84.0
CCX-000002,FDR-CQI-0098,REG-CQI,School Site 2,school,-23.569652,148.210432,partial,49.1
CCX-000003,FDR-SEQ-0034,REG-SEQ,Emergency Services Site 3,emergency_services,-27.113856,152.873796,full,83.1
CCX-000004,FDR-TSV-0087,REG-TSV,Hospital Site 4,hospital,-16.924171,145.729302,full,76.3
CCX-000005,FDR-SEQ-0013,REG-SEQ,Industrial Site 5,industrial,-27.961172,153.278199,full,65.0
CCX-000006,FDR-SEQ-0025,REG-SEQ,Telecom Site 6,telecom,-28.009734,153.331794,none,89.6
CCX-000007,FDR-SEQ-0021,REG-SEQ,Emergency Services Site 7,emergency_services,-27.424375,152.982037,partial,99
CCX-000008,FDR-SEQ-0005,REG-SEQ,Industrial Site 8,industrial,-27.964992,153.255097,unknown,78.3
CCX-000009,FDR-SEQ-0040,REG-SEQ,Hospital Site 9,hospital,-27.680202,153.049988,none,60.8
CCX-000010,FDR-SEQ-0026,REG-SEQ,Emergency Services Site 10,emergency_services,-27.115538,152.844521,full,68.6
CCX-000011,FDR-TSV-0086,REG-TSV,Water Pumping Site 11,water_pumping,-16.947647,145.654767,partial,78.6
CCX-000012,FDR--RW-0112,REG-RW,Hospital Site 12,hospital,-23.386823,144.215179,full,82.3
CCX-000013,FDR-SEQ-0033,REG-SEQ,Industrial Site 13,industrial,-27.577302,152.732356,none,78.0
CCX-000014,FDR-SEQ-0040,REG-SEQ,Emergency Services Site 14,emergency_services,-28.033325,153.322772,partial,43.5
CCX-000015,FDR-SEQ-0008,REG-SEQ,Airport Site 15,airport,-26.672212,152.910180,full,51.5
CCX-000016,FDR-SEQ-0015,REG-SEQ,Hospital Site 16,hospital,-26.570884,152.895163,partial,59.1
CCX-000017,FDR-SEQ-0025,REG-SEQ,Aged Care Site 17,aged_care,-27.417620,152.925533,partial,86.1
CCX-000018,FDR-CQI-0101,REG-CQI,Aged Care Site 18,aged_care,-23.788568,151.163387,none,74.4
CCX-000019,FDR-SEQ-0017,REG-SEQ,Emergency Services Site 19,emergency_services,-27.644422,153.063397,partial,64.7
CCX-000020,FDR-SEQ-0007,REG-SEQ,Water Pumping Site 20,water_pumping,-28.059272,153.274768,full,57.1
CCX-000021,FDR-SEQ-0001,REG-SEQ,School Site 21,school,-27.641455,153.045618,full,76.3
CCX-000022,FDR-SEQ-0022,REG-SEQ,Emergency Services Site 22,emergency_services,-27.435630,152.974869,full,73.0
CCX-000023,FDR-SEQ-0002,REG-SEQ,Hospital Site 23,hospital,-27.567566,152.746870,none,65.0
CCX-000024,FDR-SEQ-0005,REG-SEQ,Aged Care Site 24,aged_care,-27.617237,152.734974,none,83.8
CCX-000025,FDR-TSV-0087,REG-TSV,Hospital Site 25,hospital,-19.230466,146.708756,full,37.2
CCX-000026,FDR-SEQ-0007,REG-SEQ,Aged Care Site 26,aged_care,-27.064449,152.907677,unknown,79.5
CCX-000027,FDR-SEQ-0017,REG-SEQ,Aged Care Site 27,aged_care,-27.522871,152.983133,none,67.4
CCX-000028,FDR-SEQ-0007,REG-SEQ,Emergency Services Site 28,emergency_services,-27.656215,153.058979,full,60.7
CCX-000029,FDR-SEQ-0033,REG-SEQ,Emergency Services Site 29,emergency_services,-27.975332,153.351890,unknown,94.7
CCX-000030,FDR-SEQ-0025,REG-SEQ,Airport Site 30,airport,-27.605743,152.787313,none,73.6
CCX-000031,FDR-SEQ-0025,REG-SEQ,Hospital Site 31,hospital,-26.628475,152.890648,none,63.6
CCX-000032,FDR-SEQ-0020,REG-SEQ,Aged Care Site 32,aged_care,-27.636522,152.776747,partial,56.8
CCX-000033,FDR-SEQ-0032,REG-SEQ,Industrial Site 33,industrial,-27.135811,152.895656,partial,66.7
CCX-000034,FDR-CQI-0106,REG-CQI,Hospital Site 34,hospital,-23.805990,151.179768,unknown,54.9
CCX-000035,FDR-SEQ-0011,REG-SEQ,Hospital Site 35,hospital,-26.610190,152.971188,unknown,67.4
CCX-000036,FDR-TSV-0068,REG-TSV,Water Pumping Site 36,water_pumping,-17.578079,145.926971,full,94.3
CCX-000037,FDR-SEQ-0020,REG-SEQ,Airport Site 37,airport,-27.954210,153.269388,unknown,93.0
CCX-000038,FDR-SEQ-0039,REG-SEQ,Telecom Site 38,telecom,-27.617124,152.779909,full,71.1
CCX-000039,FDR-SEQ-0009,REG-SEQ,Water Pumping Site 39,water_pumping,-27.493638,152.925216,full,69.9
CCX-000040,FDR-SEQ-0018,REG-SEQ,School Site 40,school,-27.488632,153.030071,unknown,69.3
CCX-000041,FDR-SEQ-0030,REG-SEQ,Aged Care Site 41,aged_care,-27.621789,153.057389,unknown,71.9
CCX-000042,FDR-MKY-0044,REG-MKY,Emergency Services Site 42,emergency_services,-21.128972,149.067714,none,52.0
CCX-000043,FDR-SEQ-0010,REG-SEQ,Water Pumping Site 43,water_pumping,-27.052300,152.881226,partial,49.1
CCX-000044,FDR-CQI-0090,REG-CQI,Hospital Site 44,hospital,-23.543317,148.126595,partial,81.8
CCX-000045,FDR-SEQ-0021,REG-SEQ,Airport Site 45,airport,-26.649174,152.876903,unknown,29.9
CCX-000046,FDR-SEQ-0017,REG-SEQ,Industrial Site 46,industrial,-27.953482,153.296654,none,57.7
CCX-000047,FDR-SEQ-0008,REG-SEQ,Aged Care Site 47,aged_care,-26.629173,152.888643,full,72.4
CCX-000048,FDR-SEQ-0018,REG-SEQ,Industrial Site 48,industrial,-27.445843,153.044020,none,64.8
CCX-000049,FDR-SEQ-0003,REG-SEQ,Hospital Site 49,hospital,-27.991162,153.278169,none,62.8
CCX-000050,FDR-SEQ-0004,REG-SEQ,Water Pumping Site 50,water_pumping,-27.671089,152.728370,none,66.5
CCX-000051,FDR-SEQ-0005,REG-SEQ,Water Pumping Site 51,water_pumping,-27.626789,153.078541,full,91.0
CCX-000052,FDR-SEQ-0009,REG-SEQ,Hospital Site 52,hospital,-27.046616,152.888861,full,78.4
CCX-000053,FDR-SEQ-0021,REG-SEQ,Telecom Site 53,telecom,-27.622180,152.804223,none,83.9
CCX-000054,FDR-SEQ-0022,REG-SEQ,Emergency Services Site 54,emergency_services,-28.020853,153.256871,unknown,81.9
CCX-000055,FDR-SEQ-0021,REG-SEQ,Emergency Services Site 55,emergency_services,-27.624545,152.711391,unknown,59.9
CCX-000056,FDR-SEQ-0007,REG-SEQ,Industrial Site 56,industrial,-27.968669,153.271830,partial,67.6
CCX-000057,FDR-SEQ-0026,REG-SEQ,Emergency Services Site 57,emergency_services,-27.670739,152.795540,none,37.5
CCX-000058,FDR-SEQ-0040,REG-SEQ,Telecom Site 58,telecom,-28.051235,153.229035,none,74.6
CCX-000059,FDR-SEQ-0017,REG-SEQ,Telecom Site 59,telecom,-27.431489,152.993095,unknown,76.3
