defect_id,inspection_id,asset_id,defect_type,severity,detected_date,target_rectification_date,status,safety_risk_score,reliability_risk_score
DEF-00000001,INS-0000005,AST-SEQ-POL-002140,flood_damage,high,2025-06-03,2025-10-27,open,46.4,75.1
DEF-00000002,INS-0000009,AST-TSV-POL-003973,vegetation_clearance,high,2025-03-29,2025-05-19,open,28.2,29.0
DEF-00000003,INS-0000009,AST-TSV-POL-003973,crossarm_corrosion,low,2025-03-29,2025-05-27,planned,42.8,26.2
DEF-00000004,INS-0000012,AST--RW-CON-007521,conductor_sag,high,2025-09-21,2025-11-27,open,52.8,43.6
DEF-00000005,INS-0000017,AST--RW-POL-006422,crossarm_corrosion,medium,2025-07-11,2025-09-11,planned,15.4,18.1
DEF-00000006,INS-0000019,AST-MKY-POL-003025,lightning_damage,low,2025-06-20,2025-08-15,closed,44.0,29.6
DEF-00000007,INS-0000020,AST-TSV-REC-004499,vegetation_clearance,low,2025-09-16,2025-10-20,open,17.6,20.0
DEF-00000008,INS-0000021,AST-TSV-POL-003653,leaning_pole,low,2026-02-24,2026-04-29,open,41.9,28.5
DEF-00000009,INS-0000028,AST-SEQ-POL-000396,insulator_damage,medium,2024-11-26,2025-04-25,closed,12.1,16.0
DEF-00000010,INS-0000033,AST-CQI-POL-005419,vegetation_clearance,high,2026-03-28,2026-05-17,closed,37.7,63.1
DEF-00000011,INS-0000038,AST-MKY-POL-003206,access_blocked,low,2025-11-05,2026-04-02,deferred,60.0,25.8
DEF-00000012,INS-0000040,AST-MKY-SWI-003001,crossarm_corrosion,medium,2025-02-28,2025-04-14,open,50.3,31.9
DEF-00000013,INS-0000045,AST--RW-POL-007580,flood_damage,low,2025-01-22,2025-04-22,deferred,37.6,27.9
DEF-00000014,INS-0000045,AST--RW-POL-007580,leaning_pole,low,2025-01-22,2025-05-20,planned,1.4,43.5
DEF-00000015,INS-0000045,AST--RW-POL-007580,leaning_pole,low,2025-01-22,2025-07-12,planned,48.2,10.1
DEF-00000016,INS-0000046,AST-TSV-CON-004341,vegetation_clearance,low,2025-11-25,2026-03-26,open,40.0,7.9
DEF-00000017,INS-0000046,AST-TSV-CON-004341,termite_damage,low,2025-11-25,2026-04-14,closed,37.5,16.0
DEF-00000018,INS-0000046,AST-TSV-CON-004341,vegetation_clearance,medium,2025-11-25,2026-01-21,open,17.9,27.5
DEF-00000019,INS-0000049,AST--RW-POL-006663,insulator_damage,medium,2025-10-11,2026-02-16,planned,10.4,32.7
DEF-00000020,INS-0000052,AST-MKY-POL-002802,oil_leak,critical,2025-02-10,2025-07-23,closed,45.2,34.7
DEF-00000021,INS-0000054,AST-SEQ-POL-001601,access_blocked,medium,2025-03-14,2025-08-18,planned,22.1,27.2
DEF-00000022,INS-0000055,AST-TSV-POL-003755,access_blocked,low,2026-02-18,2026-03-04,open,31.0,14.8
DEF-00000023,INS-0000055,AST-TSV-POL-003755,leaning_pole,low,2026-02-18,2026-05-03,deferred,26.1,31.5
DEF-00000024,INS-0000058,AST-TSV-POL-004404,leaning_pole,medium,2026-01-12,2026-04-17,open,33.7,33.1
DEF-00000025,INS-0000058,AST-TSV-POL-004404,lightning_damage,medium,2026-01-12,2026-01-31,deferred,21.3,21.3
DEF-00000026,INS-0000058,AST-TSV-POL-004404,leaning_pole,high,2026-01-12,2026-02-22,planned,50.5,40.8
DEF-00000027,INS-0000065,AST-SEQ-POL-000149,crossarm_corrosion,critical,2025-08-16,2026-01-08,deferred,26.9,43.9
DEF-00000028,INS-0000066,AST-TSV-POL-004771,crossarm_corrosion,medium,2025-04-19,2025-10-12,closed,48.5,30.2
DEF-00000029,INS-0000066,AST-TSV-POL-004771,vegetation_clearance,medium,2025-04-19,2025-05-27,closed,25.4,32.2
DEF-00000030,INS-0000067,AST--RW-POL-007393,leaning_pole,low,2025-03-17,2025-07-11,planned,22.3,45.2
DEF-00000031,INS-0000071,AST--RW-TRA-007572,termite_damage,high,2025-10-11,2026-01-03,planned,52.6,39.0
DEF-00000032,INS-0000075,AST--RW-TRA-006700,flood_damage,low,2025-05-14,2025-11-07,open,29.0,19.2
DEF-00000033,INS-0000077,AST--RW-TRA-007500,lightning_damage,low,2026-02-18,2026-03-02,open,6.5,38.5
DEF-00000034,INS-0000082,AST--RW-POL-006747,access_blocked,medium,2025-01-22,2025-04-20,open,25.2,22.4
DEF-00000035,INS-0000083,AST-TSV-POL-003977,crossarm_corrosion,low,2026-01-02,2026-03-19,open,18.8,13.7
DEF-00000036,INS-0000083,AST-TSV-POL-003977,access_blocked,low,2026-01-02,2026-05-30,closed,15.1,25.4
DEF-00000037,INS-0000087,AST-MKY-TRA-003279,flood_damage,medium,2025-10-03,2026-01-15,planned,53.1,11.6
DEF-00000038,INS-0000090,AST--RW-POL-007683,termite_damage,medium,2025-11-27,2025-12-16,closed,20.3,24.3
DEF-00000039,INS-0000091,AST-MKY-POL-003191,vegetation_clearance,low,2025-08-18,2026-01-21,open,22.3,25.7
