depot_id,region_id,depot_name,lat,lon,crew_count,specialist_crews,mobile_generation_units
DEP-SEQ-0001,REG-SEQ,Brisbane Depot 1,-27.495311,152.989054,15,1,2
DEP-SEQ-0002,REG-SEQ,Ipswich Depot 2,-27.658406,152.753492,14,6,4
DEP-SEQ-0003,REG-SEQ,Logan Depot 3,-27.665734,153.119202,9,1,1
DEP-MKY-0004,REG-MKY,Mackay Depot 1,-21.151048,149.180921,20,6,4
DEP-MKY-0005,REG-MKY,Proserpine Depot 2,-20.380186,148.564025,25,1,1
DEP-TSV-0006,REG-TSV,Townsville Depot 1,-19.298679,146.804893,17,2,2
DEP-TSV-0007,REG-TSV,Ingham Depot 2,-18.673548,146.120345,30,3,4
DEP-TSV-0008,REG-TSV,Innisfail Depot 3,-17.476288,146.017253,37,5,0
DEP-CQI-0009,REG-CQI,Rockhampton Depot 1,-23.339555,150.496164,26,6,4
DEP-CQI-0010,REG-CQI,Gladstone Depot 2,-23.887418,151.22979,20,6,0
DEP--RW-0011,REG-RW,Longreach Depot 1,-23.403352,144.238013,26,1,1
DEP--RW-0012,REG-RW,Charleville Depot 2,-26.441735,146.227527,37,6,2
DEP--RW-0013,REG-RW,Mount Isa Depot 3,-20.714687,139.459814,25,6,0
