feeder_id,substation_id,region_id,feeder_name,voltage_kv,feeder_length_km,customer_count,critical_customer_count,overhead_pct,underground_pct,radiality_score,asset_density_score,network_capacity_band,export_capacity_band
FDR-SEQ-0001,SS-SEQ-0005,REG-SEQ,Ipswich ZS5-F1,11.0,14.76,1938,62,51.4,48.6,21.3,44.1,high,headroom
FDR-SEQ-0002,SS-SEQ-0004,REG-SEQ,Sunshine Coast ZS4-F2,11.0,16.19,245,7,63.0,37.0,45.0,35.7,medium,headroom
FDR-SEQ-0003,SS-SEQ-0001,REG-SEQ,Gold Coast ZS1-F3,33.0,16.47,1272,40,79.2,20.8,58.0,59.0,low,constrained
FDR-SEQ-0004,SS-SEQ-0002,REG-SEQ,Brisbane ZS2-F4,11.0,11.0,2025,64,59.6,40.4,52.2,54.2,high,constrained
FDR-SEQ-0005,SS-SEQ-0001,REG-SEQ,Gold Coast ZS1-F5,33.0,12.43,4213,134,65.1,34.9,66.9,43.4,low,constrained
FDR-SEQ-0006,SS-SEQ-0004,REG-SEQ,Sunshine Coast ZS4-F6,22.0,2.88,2412,77,59.1,40.9,35.9,64.9,medium,moderate
FDR-SEQ-0007,SS-SEQ-0004,REG-SEQ,Sunshine Coast ZS4-F7,33.0,14.08,5578,178,75.4,24.6,22.1,41.8,low,constrained
FDR-SEQ-0008,SS-SEQ-0003,REG-SEQ,Sunshine Coast ZS3-F8,11.0,21.23,1882,60,84.2,15.8,34.8,68.6,high,headroom
FDR-SEQ-0009,SS-SEQ-0002,REG-SEQ,Brisbane ZS2-F9,11.0,16.61,2588,82,66.2,33.8,46.3,68.6,high,constrained
FDR-SEQ-0010,SS-SEQ-0004,REG-SEQ,Sunshine Coast ZS4-F10,11.0,20.79,1656,52,68.0,32.0,38.4,69.1,high,headroom
FDR-SEQ-0011,SS-SEQ-0003,REG-SEQ,Sunshine Coast ZS3-F11,22.0,18.04,2645,84,46.7,53.3,40.9,65.0,high,headroom
FDR-SEQ-0012,SS-SEQ-0003,REG-SEQ,Sunshine Coast ZS3-F12,22.0,10.22,3809,121,53.1,46.9,45.8,99,low,headroom
FDR-SEQ-0013,SS-SEQ-0002,REG-SEQ,Brisbane ZS2-F13,33.0,13.82,1920,61,37.2,62.8,58.1,29.0,medium,moderate
FDR-SEQ-0014,SS-SEQ-0002,REG-SEQ,Brisbane ZS2-F14,22.0,18.39,703,22,92.1,7.9,17.1,48.9,high,moderate
FDR-SEQ-0015,SS-SEQ-0006,REG-SEQ,Brisbane ZS6-F15,11.0,13.42,2697,86,67.4,32.6,44.3,54.7,high,constrained
FDR-SEQ-0016,SS-SEQ-0003,REG-SEQ,Sunshine Coast ZS3-F16,22.0,6.96,1108,35,60.1,39.9,56.3,48.5,low,constrained
FDR-SEQ-0017,SS-SEQ-0006,REG-SEQ,Brisbane ZS6-F17,22.0,20.46,2315,74,68.2,31.8,36.8,56.9,medium,constrained
FDR-SEQ-0018,SS-SEQ-0006,REG-SEQ,Brisbane ZS6-F18,22.0,8.39,1795,57,60.3,39.7,40.3,74.1,high,constrained
FDR-SEQ-0019,SS-SEQ-0003,REG-SEQ,Sunshine Coast ZS3-F19,33.0,5.88,1077,34,69.1,30.9,51.0,53.7,low,moderate
FDR-SEQ-0020,SS-SEQ-0002,REG-SEQ,Brisbane ZS2-F20,33.0,14.01,2663,85,60.3,39.7,15.5,32.6,low,constrained
FDR-SEQ-0021,SS-SEQ-0002,REG-SEQ,Brisbane ZS2-F21,11.0,18.33,2337,74,66.8,33.2,39.1,36.6,medium,headroom
FDR-SEQ-0022,SS-SEQ-0006,REG-SEQ,Brisbane ZS6-F22,11.0,12.96,4049,129,46.1,53.9,55.3,56.7,medium,moderate
FDR-SEQ-0023,SS-SEQ-0003,REG-SEQ,Sunshine Coast ZS3-F23,11.0,10.92,2428,77,47.6,52.4,32.2,57.2,low,moderate
FDR-SEQ-0024,SS-SEQ-0003,REG-SEQ,Sunshine Coast ZS3-F24,33.0,5.57,2063,66,59.0,41.0,31.0,80.3,medium,constrained
FDR-SEQ-0025,SS-SEQ-0005,REG-SEQ,Ipswich ZS5-F25,22.0,15.98,3573,114,61.2,38.8,28.1,71.7,medium,headroom
FDR-SEQ-0026,SS-SEQ-0005,REG-SEQ,Ipswich ZS5-F26,11.0,8.49,3095,99,65.6,34.4,58.8,84.2,high,headroom
FDR-SEQ-0027,SS-SEQ-0006,REG-SEQ,Brisbane ZS6-F27,33.0,14.14,2101,67,72.9,27.1,13.4,65.3,medium,headroom
FDR-SEQ-0028,SS-SEQ-0003,REG-SEQ,Sunshine Coast ZS3-F28,33.0,19.16,753,24,68.2,31.8,49.8,37.2,medium,headroom
FDR-SEQ-0029,SS-SEQ-0002,REG-SEQ,Brisbane ZS2-F29,11.0,17.09,20,0,51.3,48.7,28.6,20.9,high,headroom
FDR-SEQ-0030,SS-SEQ-0003,REG-SEQ,Sunshine Coast ZS3-F30,22.0,13.85,2150,68,67.9,32.1,52.4,30.8,medium,moderate
FDR-SEQ-0031,SS-SEQ-0004,REG-SEQ,Sunshine Coast ZS4-F31,33.0,10.07,2436,77,51.8,48.2,57.4,34.4,low,headroom
FDR-SEQ-0032,SS-SEQ-0001,REG-SEQ,Gold Coast ZS1-F32,22.0,6.11,2011,64,76.3,23.7,59.1,50.2,low,constrained
FDR-SEQ-0033,SS-SEQ-0002,REG-SEQ,Brisbane ZS2-F33,11.0,5.63,5134,164,55.1,44.9,24.3,33.5,medium,moderate
FDR-SEQ-0034,SS-SEQ-0006,REG-SEQ,Brisbane ZS6-F34,33.0,16.96,3726,119,74.0,26.0,40.3,49.1,low,moderate
FDR-SEQ-0035,SS-SEQ-0002,REG-SEQ,Brisbane ZS2-F35,11.0,13.51,2715,86,82.5,17.5,25.1,54.2,low,moderate
FDR-SEQ-0036,SS-SEQ-0002,REG-SEQ,Brisbane ZS2-F36,22.0,5.76,20,0,89.2,10.8,23.4,66.0,high,headroom
FDR-SEQ-0037,SS-SEQ-0004,REG-SEQ,Sunshine Coast ZS4-F37,33.0,9.14,1560,49,62.6,37.4,48.5,37.5,low,headroom
FDR-SEQ-0038,SS-SEQ-0003,REG-SEQ,Sunshine Coast ZS3-F38,33.0,9.88,2237,71,82.6,17.4,47.0,51.3,high,constrained
FDR-SEQ-0039,SS-SEQ-0002,REG-SEQ,Brisbane ZS2-F39,11.0,19.04,2355,75,46.7,53.3,38.8,44.7,medium,moderate
FDR-SEQ-0040,SS-SEQ-0005,REG-SEQ,Ipswich ZS5-F40,22.0,10.71,2531,80,87.8,12.2,52.5,30.0,high,moderate
FDR-SEQ-0041,SS-SEQ-0004,REG-SEQ,Sunshine Coast ZS4-F41,11.0,9.65,3011,96,68.6,31.4,20.5,70.2,medium,headroom
FDR-SEQ-0042,SS-SEQ-0006,REG-SEQ,Brisbane ZS6-F42,33.0,6.7,1740,55,63.4,36.6,48.3,46.7,medium,headroom
FDR-MKY-0043,SS-MKY-0008,REG-MKY,Mackay ZS2-F1,33.0,22.84,1079,15,74.4,25.6,63.6,65.0,low,moderate
FDR-MKY-0044,SS-MKY-0007,REG-MKY,Mackay ZS1-F2,11.0,19.03,662,9,89.7,10.3,52.9,42.5,medium,moderate
FDR-MKY-0045,SS-MKY-0008,REG-MKY,Mackay ZS2-F3,22.0,26.18,850,11,100.0,0,51.9,56.2,low,headroom
FDR-MKY-0046,SS-MKY-0007,REG-MKY,Mackay ZS1-F4,22.0,22.54,996,13,82.7,17.3,51.1,61.1,low,headroom
FDR-MKY-0047,SS-MKY-0007,REG-MKY,Mackay ZS1-F5,11.0,23.29,1278,17,73.3,26.7,44.3,45.9,high,moderate
FDR-MKY-0048,SS-MKY-0008,REG-MKY,Mackay ZS2-F6,11.0,4.17,172,2,90.1,9.9,31.6,56.7,high,constrained
FDR-MKY-0049,SS-MKY-0008,REG-MKY,Mackay ZS2-F7,33.0,28.51,373,5,100.0,0,36.9,64.4,low,headroom
FDR-MKY-0050,SS-MKY-0007,REG-MKY,Mackay ZS1-F8,11.0,19.57,503,7,94.7,5.3,32.1,55.5,low,moderate
FDR-MKY-0051,SS-MKY-0008,REG-MKY,Mackay ZS2-F9,33.0,11.11,497,6,75.6,24.4,39.3,74.5,medium,constrained
FDR-MKY-0052,SS-MKY-0008,REG-MKY,Mackay ZS2-F10,22.0,11.11,246,3,89.4,10.6,39.6,46.0,medium,headroom
FDR-MKY-0053,SS-MKY-0008,REG-MKY,Mackay ZS2-F11,22.0,2.0,214,2,78.3,21.7,49.3,79.1,low,moderate
FDR-MKY-0054,SS-MKY-0008,REG-MKY,Mackay ZS2-F12,11.0,22.03,294,4,91.3,8.7,42.5,36.7,medium,constrained
FDR-MKY-0055,SS-MKY-0008,REG-MKY,Mackay ZS2-F13,22.0,22.28,374,5,65.2,34.8,49.1,38.5,low,headroom
FDR-MKY-0056,SS-MKY-0007,REG-MKY,Mackay ZS1-F14,11.0,22.49,1268,17,94.4,5.6,49.0,26.6,medium,constrained
FDR-MKY-0057,SS-MKY-0007,REG-MKY,Mackay ZS1-F15,22.0,24.08,954,13,67.9,32.1,46.5,68.6,medium,headroom
