hazard_zone_id,region_id,hazard_type,zone_name,lat,lon,radius_km,severity_score,seasonal_window
HZN-000001,REG-SEQ,storm,Gold Coast storm Zone 1,-27.710144,153.252411,5.9,78.6,Aug-Nov
HZN-000002,REG-SEQ,storm,Brisbane storm Zone 2,-27.352009,153.053397,34.8,33.2,year_round
HZN-000003,REG-SEQ,storm,Logan storm Zone 3,-27.330736,152.991657,15.3,61.8,Dec-Mar
HZN-000004,REG-SEQ,heat,Sunshine Coast heat Zone 4,-26.990128,153.46237,19.2,72.5,Nov-Apr
HZN-000005,REG-SEQ,storm,Logan storm Zone 5,-27.821322,153.368057,22.3,86.0,year_round
HZN-000006,REG-SEQ,storm,Sunshine Coast storm Zone 6,-26.944203,153.333546,28.4,88.2,Dec-Mar
HZN-000007,REG-SEQ,heat,Sunshine Coast heat Zone 7,-26.448678,153.411919,6.9,68.7,Aug-Nov
HZN-000008,REG-SEQ,flood,Ipswich flood Zone 8,-27.767239,152.559753,4.2,73.7,Nov-Apr
HZN-000009,REG-SEQ,bushfire,Redcliffe bushfire Zone 9,-27.482474,152.764448,12.3,79.1,Aug-Nov
HZN-000010,REG-SEQ,flood,Ipswich flood Zone 10,-27.875451,153.135587,30.3,83.8,Aug-Nov
HZN-000011,REG-SEQ,storm,Redcliffe storm Zone 11,-27.149781,153.49416,33.5,75.9,Nov-Apr
HZN-000012,REG-SEQ,storm,Logan storm Zone 12,-27.834067,153.382204,26.6,44.7,Nov-Apr
HZN-000013,REG-SEQ,bushfire,Ipswich bushfire Zone 13,-27.749566,152.574354,33.0,94.5,Aug-Nov
HZN-000014,REG-SEQ,storm,Gold Coast storm Zone 14,-27.995046,153.488662,28.2,44.4,year_round
HZN-000015,REG-SEQ,storm,Logan storm Zone 15,-27.598074,153.114565,26.8,66.0,Dec-Mar
HZN-000016,REG-SEQ,storm,Gold Coast storm Zone 16,-28.072279,153.207068,18.7,56.9,Dec-Mar
HZN-000017,REG-SEQ,storm,Gold Coast storm Zone 17,-27.748331,153.028914,32.1,56.2,Aug-Nov
HZN-000018,REG-SEQ,flood,Sunshine Coast flood Zone 18,-26.49182,153.121762,32.0,71.3,year_round
HZN-000019,REG-SEQ,heat,Sunshine Coast heat Zone 19,-26.66184,153.324581,24.1,72.4,Aug-Nov
HZN-000020,REG-SEQ,flood,Ipswich flood Zone 20,-27.317023,152.764835,7.1,45.4,Dec-Mar
HZN-000021,REG-SEQ,storm,Logan storm Zone 21,-28.058223,153.050106,9.7,13.6,Aug-Nov
HZN-000022,REG-SEQ,flood,Sunshine Coast flood Zone 22,-26.584235,153.294122,6.6,63.1,Aug-Nov
HZN-000023,REG-SEQ,storm,Ipswich storm Zone 23,-27.506053,152.437825,7.7,68.8,year_round
HZN-000024,REG-SEQ,flood,Brisbane flood Zone 24,-27.818672,152.979676,3.8,64.6,Nov-Apr
HZN-000025,REG-SEQ,heat,Redcliffe heat Zone 25,-27.63591,152.683785,8.0,48.4,Nov-Apr
HZN-000026,REG-SEQ,storm,Redcliffe storm Zone 26,-27.499751,152.905276,14.0,34.0,Nov-Apr
HZN-000027,REG-SEQ,bushfire,Logan bushfire Zone 27,-27.973099,153.193806,10.6,48.2,Nov-Apr
HZN-000028,REG-SEQ,storm,Gold Coast storm Zone 28,-28.395547,153.42508,30.2,34.8,year_round
HZN-000029,REG-SEQ,storm,Brisbane storm Zone 29,-27.27754,152.9933,28.5,70.9,year_round
HZN-000030,REG-SEQ,storm,Brisbane storm Zone 30,-27.35177,152.980072,27.6,60.2,Aug-Nov
HZN-000031,REG-SEQ,storm,Logan storm Zone 31,-28.087056,153.062745,24.6,75.3,Dec-Mar
HZN-000032,REG-SEQ,bushfire,Redcliffe bushfire Zone 32,-27.292151,153.535869,6.5,67.5,year_round
HZN-000033,REG-SEQ,flood,Brisbane flood Zone 33,-27.886469,153.271802,31.2,60.6,year_round
HZN-000034,REG-SEQ,cyclone,Gold Coast cyclone Zone 34,-27.645362,153.82505,12.4,40.5,Nov-Apr
HZN-000035,REG-SEQ,flood,Sunshine Coast flood Zone 35,-26.907292,152.868293,15.0,63.0,year_round
HZN-000036,REG-SEQ,storm,Ipswich storm Zone 36,-27.689289,153.205213,10.1,41.2,Aug-Nov
HZN-000037,REG-SEQ,storm,Sunshine Coast storm Zone 37,-26.456339,153.197616,26.1,51.9,Dec-Mar
HZN-000038,REG-SEQ,storm,Logan storm Zone 38,-27.969941,153.030954,32.5,61.2,Nov-Apr
HZN-000039,REG-SEQ,flood,Ipswich flood Zone 39,-28.055877,152.830812,22.5,92.5,year_round
HZN-000040,REG-SEQ,storm,Sunshine Coast storm Zone 40,-26.35969,152.802017,31.7,84.5,Dec-Mar
