inspection_id,asset_id,inspection_date,inspection_type,inspector_team,condition_observed,defect_count,photo_count,document_id,recommended_action
INS-0000001,AST-TSV-POL-003317,2026-02-22,routine,Crew A,good,2,5,,no_action
INS-0000002,AST-SEQ-POL-000491,2025-12-21,drone,Crew B,fair,0,2,,no_action
INS-0000003,AST-SEQ-POL-001464,2025-09-28,routine,Crew B,fair,2,1,,no_action
INS-0000004,AST-MKY-POL-002225,2025-08-08,thermal,Drone Team 2,good,0,2,,no_action
INS-0000005,AST-SEQ-POL-002140,2025-06-03,routine,Crew C,fair,1,3,,urgent_repair
INS-0000006,AST-MKY-POL-002811,2025-09-30,routine,Crew B,good,0,2,,no_action
INS-0000007,AST-SEQ-POL-001668,2025-05-12,routine,Crew C,good,0,4,,no_action
INS-0000008,AST--RW-TRA-006130,2025-11-22,routine,Crew A,good,0,5,,no_action
INS-0000009,AST-TSV-POL-003973,2025-03-29,storm_follow_up,Crew C,good,3,2,,schedule_inspection
INS-0000010,AST--RW-SWI-007041,2026-02-16,drone,Crew C,fair,2,0,,no_action
INS-0000011,AST-TSV-POL-003359,2025-04-03,storm_follow_up,Crew B,fair,2,1,,no_action
INS-0000012,AST--RW-CON-007521,2025-09-21,storm_follow_up,Drone Team 2,fair,2,7,,monitor
INS-0000013,AST-MKY-POL-002616,2025-02-10,routine,Drone Team 1,good,1,7,,no_action
INS-0000014,AST-TSV-POL-004613,2025-04-22,thermal,Drone Team 2,fair,0,2,,no_action
INS-0000015,AST-SEQ-POL-001116,2025-06-28,routine,Crew A,fair,1,0,,no_action
INS-0000016,AST-SEQ-POL-001519,2025-10-11,storm_follow_up,Crew B,fair,0,8,,no_action
INS-0000017,AST--RW-POL-006422,2025-07-11,routine,Crew C,very_poor,2,2,,urgent_repair
INS-0000018,AST-TSV-POL-004015,2026-02-23,vegetation,Drone Team 2,fair,3,4,,no_action
INS-0000019,AST-MKY-POL-003025,2025-06-20,thermal,Crew A,very_poor,2,8,,schedule_inspection
INS-0000020,AST-TSV-REC-004499,2025-09-16,routine,Crew C,very_poor,1,0,,schedule_inspection
INS-0000021,AST-TSV-POL-003653,2026-02-24,routine,Drone Team 2,poor,2,1,,schedule_inspection
INS-0000022,AST--RW-TRA-007618,2025-07-18,routine,Crew B,good,2,0,,no_action
