candidate_id,feeder_id,region_id,site_name,lat,lon,connection_ready,customer_impact_reduction_score,access_difficulty_score,recommended_unit_size_kva
MGC-00001,FDR--RW-0112,REG-RW,Longreach Mobile Gen Site 1,-23.395253,144.282485,True,60.7,47.0,1500
MGC-00002,FDR--RW-0126,REG-RW,Longreach Mobile Gen Site 2,-23.411136,144.292959,True,54.6,37.8,1500
MGC-00003,FDR-MKY-0061,REG-MKY,Airlie Beach Mobile Gen Site 3,-20.417995,148.579851,True,31.2,34.0,100
MGC-00004,FDR--RW-0123,REG-RW,Winton Mobile Gen Site 4,-22.377293,143.078749,False,51.6,55.7,1000
MGC-00005,FDR--RW-0114,REG-RW,Roma Mobile Gen Site 5,-26.610339,148.794984,False,62.4,65.4,2000
MGC-00006,FDR-CQI-0095,REG-CQI,Rockhampton Mobile Gen Site 6,-23.349597,150.464962,True,62.5,35.6,500
MGC-00007,FDR-TSV-0082,REG-TSV,Cairns Mobile Gen Site 7,-17.315532,145.516618,True,49.5,70.5,250
MGC-00008,FDR-TSV-0085,REG-TSV,Townsville Mobile Gen Site 8,-19.221663,146.765761,True,67.3,31.8,1500
MGC-00009,FDR-MKY-0060,REG-MKY,Bowen Mobile Gen Site 9,-20.061054,148.151652,False,79.7,51.4,1500
MGC-00010,FDR-CQI-0102,REG-CQI,Gladstone Mobile Gen Site 10,-23.833953,151.166146,False,80.8,55.3,750
MGC-00011,FDR--RW-0112,REG-RW,Charleville Mobile Gen Site 11,-26.439439,146.223385,True,73.4,62.5,750
MGC-00012,FDR-SEQ-0020,REG-SEQ,Logan Mobile Gen Site 12,-27.517321,153.034282,True,80.5,57.6,2000
MGC-00013,FDR--RW-0126,REG-RW,Roma Mobile Gen Site 13,-26.618061,148.784079,True,56.1,57.8,250
MGC-00014,FDR-MKY-0043,REG-MKY,Proserpine Mobile Gen Site 14,-20.375893,148.573168,True,66.5,46.5,750
MGC-00015,FDR--RW-0111,REG-RW,Roma Mobile Gen Site 15,-26.622584,148.755581,False,56.0,54.6,750
MGC-00016,FDR-SEQ-0003,REG-SEQ,Ipswich Mobile Gen Site 16,-27.627831,152.742362,False,60.4,41.3,500
MGC-00017,FDR-TSV-0075,REG-TSV,Cairns Mobile Gen Site 17,-16.873562,145.703043,False,56.3,37.0,100
MGC-00018,FDR--RW-0118,REG-RW,Mount Isa Mobile Gen Site 18,-20.704716,139.507544,True,52.3,54.1,250
MGC-00019,FDR-MKY-0060,REG-MKY,Airlie Beach Mobile Gen Site 19,-20.436558,148.534559,False,52.1,35.1,100
