outage_id,feeder_id,region_id,asset_id,outage_start,outage_end,duration_minutes,customers_interrupted,critical_customers_interrupted,cause_category,saidi_minutes,saifi_count,crew_response_minutes,restoration_notes
OUT-0000001,FDR-SEQ-0010,REG-SEQ,AST-SEQ-RIN-000542,2023-08-24T00:48,2023-08-24T00:53,5,539,27,storm,1.63,0.3255,55,Storm cell passed through feeder.
OUT-0000002,FDR-MKY-0047,REG-MKY,,2025-10-19T08:33,2025-10-19T14:37,364,477,8,flood,135.86,0.3732,89,Storm cell passed through feeder.
OUT-0000003,FDR-TSV-0084,REG-TSV,,2025-07-17T10:08,2025-07-17T13:18,190,154,6,storm,31.91,0.1679,94,Switched to alternate feeder during restoration.
OUT-0000004,FDR-TSV-0085,REG-TSV,AST-TSV-SWI-004668,2024-04-29T00:47,2024-04-29T04:09,202,641,12,vegetation,71.62,0.3545,66,Helicopter inspection required.
OUT-0000005,FDR-TSV-0087,REG-TSV,AST-TSV-POL-004788,2024-10-23T16:43,2024-10-23T20:32,229,511,11,vegetation,68.59,0.2995,81,Crew rerouted via alternate access track.
OUT-0000006,FDR-TSV-0083,REG-TSV,AST-TSV-POL-004514,2024-08-16T19:29,2024-08-16T23:19,230,228,3,storm,119.73,0.5205,96,Storm cell passed through feeder.
OUT-0000007,FDR-TSV-0066,REG-TSV,AST-TSV-POL-003358,2025-04-09T13:08,2025-04-09T16:34,206,120,9,lightning,17.53,0.0851,91,Crew rerouted via alternate access track.
OUT-0000008,FDR-TSV-0075,REG-TSV,AST-TSV-TRA-003960,2025-04-13T01:51,2025-04-13T05:50,239,88,1,flood,83.46,0.3492,88,Vegetation contact confirmed at span.
OUT-0000009,FDR-MKY-0043,REG-MKY,,2025-11-15T02:38,2025-11-15T07:55,317,886,7,flood,260.3,0.8211,38,Storm cell passed through feeder.
OUT-0000010,FDR-TSV-0072,REG-TSV,,2024-02-08T19:21,2024-02-08T22:42,201,608,9,lightning,104.45,0.5197,76,Restoration delayed by access issues.
OUT-0000011,FDR-MKY-0058,REG-MKY,,2025-03-09T00:02,2025-03-09T04:56,294,337,5,vegetation,119.66,0.407,57,Helicopter inspection required.
OUT-0000012,FDR-MKY-0043,REG-MKY,,2024-12-31T04:00,2024-12-31T08:09,249,426,7,lightning,98.31,0.3948,82,Helicopter inspection required.
OUT-0000013,FDR-TSV-0069,REG-TSV,AST-TSV-SEC-003591,2024-05-07T10:47,2024-05-07T15:10,263,149,2,storm,92.64,0.3522,59,Switched to alternate feeder during restoration.
OUT-0000014,FDR-MKY-0064,REG-MKY,AST-MKY-TRA-003284,2025-08-19T01:56,2025-08-19T05:33,217,1,1,equipment_failure,10.85,0.05,38,Crew rerouted via alternate access track.
OUT-0000015,FDR-TSV-0077,REG-TSV,,2026-02-08T06:13,2026-02-08T10:00,227,154,8,storm,30.85,0.1359,66,Helicopter inspection required.
OUT-0000016,FDR-TSV-0070,REG-TSV,AST-TSV-POL-003700,2025-08-30T19:44,2025-08-30T22:49,185,135,2,equipment_failure,74.11,0.4006,71,Vegetation contact confirmed at span.
OUT-0000017,FDR-TSV-0081,REG-TSV,AST-TSV-POL-004383,2025-09-22T16:14,2025-09-22T20:18,244,835,6,flood,177.01,0.7255,69,Restoration delayed by access issues.
OUT-0000018,FDR-MKY-0044,REG-MKY,AST-MKY-POL-002284,2024-05-08T13:53,2024-05-08T18:15,262,385,2,storm,152.37,0.5816,73,Helicopter inspection required.
