substation_id,region_id,substation_name,lat,lon,voltage_level,commissioned_year,criticality_score,flood_exposure_score,cyclone_exposure_score
SS-SEQ-0001,REG-SEQ,Gold Coast ZS1,-28.044756,153.264490,66/11,1975,67.7,30.8,27.4
SS-SEQ-0002,REG-SEQ,Brisbane ZS2,-27.441371,152.991549,66/11,2017,68.7,40.8,9.6
SS-SEQ-0003,REG-SEQ,Sunshine Coast ZS3,-26.668165,152.970605,66/22,1978,70.3,15.5,21.3
SS-SEQ-0004,REG-SEQ,Sunshine Coast ZS4,-26.648720,152.894020,132/33,1981,70.2,27.7,0
SS-SEQ-0005,REG-SEQ,Ipswich ZS5,-27.633487,152.789369,132/33,1996,80.1,30.5,23.3
SS-SEQ-0006,REG-SEQ,Brisbane ZS6,-27.487338,152.971590,110/33,1989,87.7,14.1,0
SS-MKY-0007,REG-MKY,Mackay ZS1,-21.137127,149.102658,33/11,2008,64.5,18.4,57.6
SS-MKY-0008,REG-MKY,Mackay ZS2,-21.131837,149.104401,66/22,1997,38.6,36.3,38.2
SS-TSV-0009,REG-TSV,Port Douglas ZS1,-17.003781,145.397221,132/33,1977,66.7,69.8,34.2
SS-TSV-0010,REG-TSV,Innisfail ZS2,-17.533379,145.965212,110/33,1966,49.9,59.9,68.7
SS-TSV-0011,REG-TSV,Ingham ZS3,-18.608733,146.138705,33/11,1980,75.9,23.8,74.4
SS-CQI-0012,REG-CQI,Rockhampton ZS1,-23.354806,150.479423,66/11,2007,95.1,2.3,20.4
SS-CQI-0013,REG-CQI,Gladstone ZS2,-23.792192,151.184086,66/11,2024,69.2,15.1,21.4
SS--RW-0014,REG-RW,Roma ZS1,-26.624825,148.804132,132/33,1993,48.4,25.3,14.4
SS--RW-0015,REG-RW,Charleville ZS2,-26.425456,146.225322,132/33,1979,57.3,18.6,12.2
