work_order_id,asset_id,feeder_id,region_id,work_type,priority,status,created_date,scheduled_date,completed_date,estimated_hours,estimated_cost_aud,crew_type,depot_id
WO-0000001,AST-CQI-TRA-005587,FDR-CQI-0099,REG-CQI,repair,low,scheduled,2026-01-19,2026-03-06,,7.5,9628.83,line_crew,DEP-CQI-0010
WO-0000002,AST-SEQ-POL-001495,FDR-SEQ-0028,REG-SEQ,replacement,high,completed,2025-11-20,2025-12-03,2025-12-19,27.5,11044.37,substation_crew,DEP-SEQ-0003
WO-0000003,AST-MKY-SEC-002217,FDR-MKY-0043,REG-MKY,replacement,low,scheduled,2026-04-03,2026-05-23,,9.3,14960.54,line_crew,DEP-MKY-0005
WO-0000004,AST-TSV-POL-004493,FDR-TSV-0082,REG-TSV,storm_response,high,scheduled,2024-10-20,2025-01-13,,12.6,7217.83,substation_crew,DEP-TSV-0006
WO-0000005,AST-TSV-POL-003617,FDR-TSV-0069,REG-TSV,inspection,medium,cancelled,2024-05-17,2024-06-05,,17.7,9539.86,vegetation_crew,DEP-TSV-0007
WO-0000006,AST--RW-CON-006487,FDR--RW-0112,REG-RW,repair,high,completed,2026-04-27,2026-05-03,2026-05-18,18.2,13617.72,substation_crew,DEP--RW-0012
WO-0000007,,FDR--RW-0124,REG-RW,repair,urgent,scheduled,2025-08-11,2025-08-28,,4.0,2221.21,drone_team,DEP--RW-0011
WO-0000008,,FDR-SEQ-0004,REG-SEQ,repair,low,in_progress,2025-03-23,2025-04-06,,7.3,14194.17,line_crew,DEP-SEQ-0001
WO-0000009,,FDR-SEQ-0004,REG-SEQ,planned_maintenance,high,completed,2025-01-23,2025-03-12,2025-03-22,3.7,4289.42,drone_team,DEP-SEQ-0001
WO-0000010,AST-TSV-CON-004851,FDR-TSV-0088,REG-TSV,vegetation_treatment,high,completed,2025-11-07,2026-01-25,2026-01-27,35.3,14481.16,drone_team,DEP-TSV-0008
WO-0000011,AST-TSV-POL-004681,FDR-TSV-0085,REG-TSV,storm_response,urgent,scheduled,2026-03-03,2026-04-30,,14.9,14693.08,line_crew,DEP-TSV-0007
WO-0000012,AST--RW-TRA-006590,FDR--RW-0114,REG-RW,planned_maintenance,medium,completed,2025-12-20,2026-02-05,2026-02-05,28.6,13606.05,substation_crew,DEP--RW-0011
WO-0000013,,FDR-SEQ-0012,REG-SEQ,vegetation_treatment,medium,in_progress,2024-09-21,2024-10-13,,18.0,11611.84,substation_crew,DEP-SEQ-0001
WO-0000014,,FDR-TSV-0081,REG-TSV,vegetation_treatment,low,completed,2024-06-15,2024-08-20,2024-08-22,9.2,4113.63,substation_crew,DEP-TSV-0008
WO-0000015,AST--RW-POL-006851,FDR--RW-0116,REG-RW,vegetation_treatment,high,in_progress,2026-03-06,2026-04-03,,17.8,9704.42,drone_team,DEP--RW-0012
WO-0000016,,FDR-TSV-0075,REG-TSV,planned_maintenance,medium,approved,2025-06-12,2025-07-03,,32.0,14479.36,vegetation_crew,DEP-TSV-0007
WO-0000017,,FDR-CQI-0107,REG-CQI,inspection,medium,completed,2025-11-27,2026-02-21,2026-03-22,17.4,10569.31,substation_crew,DEP-CQI-0010
WO-0000018,AST-SEQ-SWI-002141,FDR-SEQ-0041,REG-SEQ,inspection,high,approved,2025-11-14,2026-01-16,,24.0,15651.7,substation_crew,DEP-SEQ-0001
WO-0000019,AST-TSV-POL-003972,FDR-TSV-0075,REG-TSV,repair,low,completed,2024-07-25,2024-07-27,2024-08-24,16.7,4911.96,line_crew,DEP-TSV-0008
WO-0000020,AST-MKY-POL-002917,FDR-MKY-0057,REG-MKY,replacement,low,scheduled,2024-08-11,2024-10-10,,23.2,8462.47,substation_crew,DEP-MKY-0004
WO-0000021,,FDR--RW-0112,REG-RW,storm_response,medium,cancelled,2025-08-02,2025-08-05,,2.4,10451.54,vegetation_crew,DEP--RW-0012
WO-0000022,AST--RW-POL-007579,FDR--RW-0125,REG-RW,vegetation_treatment,urgent,scheduled,2024-06-22,2024-07-15,,30.1,12677.22,vegetation_crew,DEP--RW-0011
WO-0000023,AST--RW-TRA-006556,FDR--RW-0113,REG-RW,inspection,medium,cancelled,2024-07-29,2024-09-25,,29.5,9933.92,line_crew,DEP--RW-0011
WO-0000024,AST-SEQ-POL-001844,FDR-SEQ-0035,REG-SEQ,inspection,low,in_progress,2026-04-29,2026-07-27,,35.8,20156.05,substation_crew,DEP-SEQ-0003
WO-0000025,AST-TSV-SEC-003843,FDR-TSV-0073,REG-TSV,repair,high,in_progress,2026-04-10,2026-05-04,,32.7,14860.41,line_crew,DEP-TSV-0006
WO-0000026,AST-CQI-POL-005193,FDR-CQI-0094,REG-CQI,inspection,medium,approved,2025-09-13,2025-09-26,,21.6,6776.9,drone_team,DEP-CQI-0009
WO-0000027,AST--RW-CON-006699,FDR--RW-0115,REG-RW,inspection,high,in_progress,2025-09-18,2025-12-05,,17.1,11812.49,substation_crew,DEP--RW-0012
WO-0000028,,FDR-CQI-0095,REG-CQI,planned_maintenance,low,in_progress,2025-07-06,2025-07-13,,20.9,9804.87,line_crew,DEP-CQI-0010
WO-0000029,AST-TSV-POL-003420,FDR-TSV-0066,REG-TSV,repair,medium,in_progress,2025-10-04,2025-12-22,,10.5,13164.63,line_crew,DEP-TSV-0007
WO-0000030,AST-TSV-CON-004342,FDR-TSV-0081,REG-TSV,access_remediation,high,completed,2024-06-12,2024-06-23,2024-06-29,26.3,10670.17,line_crew,DEP-TSV-0007
WO-0000031,AST-MKY-TRA-002307,FDR-MKY-0045,REG-MKY,repair,high,completed,2026-03-25,2026-06-23,2026-06-28,25.1,14324.53,substation_crew,DEP-MKY-0005
WO-0000032,,FDR-MKY-0045,REG-MKY,replacement,medium,completed,2026-03-02,2026-04-19,2026-05-09,29.6,7944.76,vegetation_crew,DEP-MKY-0005
WO-0000033,AST-TSV-TRA-003882,FDR-TSV-0074,REG-TSV,vegetation_treatment,medium,completed,2026-03-07,2026-04-19,2026-04-22,22.9,12137.93,line_crew,DEP-TSV-0006
WO-0000034,AST-CQI-SWI-005679,FDR-CQI-0101,REG-CQI,repair,medium,approved,2025-07-30,2025-09-16,,13.3,14162.2,vegetation_crew,DEP-CQI-0009
WO-0000035,AST-MKY-SEC-002449,FDR-MKY-0047,REG-MKY,access_remediation,medium,draft,2025-01-16,2025-03-10,,26.6,10524.63,drone_team,DEP-MKY-0004
WO-0000036,AST-SEQ-POL-000762,FDR-SEQ-0014,REG-SEQ,access_remediation,low,scheduled,2025-01-09,2025-02-10,,11.5,5273.48,substation_crew,DEP-SEQ-0002
WO-0000037,AST-MKY-TRA-002871,FDR-MKY-0057,REG-MKY,inspection,high,draft,2025-09-26,2025-11-11,,7.2,13889.11,drone_team,DEP-MKY-0004
WO-0000038,AST--RW-TRA-007367,FDR--RW-0123,REG-RW,storm_response,medium,scheduled,2024-10-01,2024-11-07,,32.0,18293.96,substation_crew,DEP--RW-0012
WO-0000039,,FDR-TSV-0079,REG-TSV,repair,medium,scheduled,2025-02-20,2025-03-13,,33.2,19427.24,substation_crew,DEP-TSV-0006
WO-0000040,AST-TSV-SEC-004033,FDR-TSV-0076,REG-TSV,vegetation_treatment,urgent,scheduled,2026-05-07,2026-07-19,,31.0,15969.4,drone_team,DEP-TSV-0006
WO-0000041,,FDR-TSV-0086,REG-TSV,planned_maintenance,low,scheduled,2024-08-26,2024-10-23,,27.6,19206.04,drone_team,DEP-TSV-0006
WO-0000042,,FDR-TSV-0080,REG-TSV,vegetation_treatment,low,in_progress,2025-06-04,2025-06-08,,4.8,5924.47,substation_crew,DEP-TSV-0008
WO-0000043,AST-CQI-RIN-005814,FDR-CQI-0103,REG-CQI,replacement,medium,scheduled,2025-05-20,2025-05-29,,16.4,7989.54,drone_team,DEP-CQI-0009
WO-0000044,AST-CQI-TRA-005275,FDR-CQI-0095,REG-CQI,storm_response,urgent,completed,2025-01-25,2025-03-09,2025-04-03,19.8,12443.51,substation_crew,DEP-CQI-0009
WO-0000045,AST-TSV-SEC-004033,FDR-TSV-0076,REG-TSV,vegetation_treatment,high,draft,2026-05-06,2026-06-25,,18.0,11353.4,line_crew,DEP-TSV-0008
WO-0000046,AST-SEQ-POL-001971,FDR-SEQ-0038,REG-SEQ,access_remediation,high,completed,2026-04-13,2026-05-30,2026-06-10,7.0,6646.87,line_crew,DEP-SEQ-0002
WO-0000047,,FDR-CQI-0099,REG-CQI,inspection,high,completed,2024-08-01,2024-09-23,2024-09-27,6.4,11916.72,drone_team,DEP-CQI-0009
WO-0000048,,FDR-CQI-0097,REG-CQI,vegetation_treatment,medium,cancelled,2025-01-27,2025-04-18,,19.4,14860.17,substation_crew,DEP-CQI-0010
WO-0000049,,FDR-SEQ-0011,REG-SEQ,vegetation_treatment,low,completed,2024-10-30,2024-12-13,2024-12-29,12.3,11459.42,vegetation_crew,DEP-SEQ-0002
